abstract,抽象的な
apparent,明白な・一見～らしい
arrest,～を逮捕する・止める
artistic,芸術的な
assist,援助する
bend,～を曲げる・屈服させる
beverage,飲み物・飲料
blade,刃・羽根
blossom,花が咲く・発展する
bump into,～に偶然出会う
bury,～を埋める;埋葬する
casual,何気ない
charm,魅力・お守り
chew,噛む
classify,～を分類する・機密扱いにする
clue,手がかり・ヒント
compose,～を構成する・創作する
confront,～に立ち向かう・立ちはだかる
consult,～を相談する・参照する
convert,～を変える・交換する
core,核心・芯
dispute,～に異議を唱える・議論する
divorce,離婚・分離
eager,熱望して
ecology,生態学・生態系
embrace,～を受け入れる・抱擁する
endure,～に耐える・存続する
enterprise,企業・事業
entertain,～を楽しませる
esteem,～を尊敬する・みなす
ethics,倫理・道徳
ethnic,民族の・人種の
exhibit,～を展示する・(感情などを)表す
faculty,能力・機能
federal,連邦政府の
float,浮かぶ・漂う
fluent,流暢な
formation,形成・構成物
fortune,財産・運命
galaxy,星雲・銀河
govern,支配する
haven,避難所・保護区
humorous,ひょうきんな・ユーモアのある
imitate,～をまねる
impose,～を課す・押し付ける
impress,～を感動させる
interrupt,～を中断させる
jail,刑務所
justify,～を正当化する
leap,跳ぶ・さっと動く
limitation,制限・限界
mankind,人類
mature,成熟した
mere,単なる・ほんの
merit,利点・功績
molecule,分子・微粒子
mutual,相互の
nationality,国籍・国民
negotiate,交渉する
nutrition,栄養
obstacle,障害
overwhelm,～を圧倒する
owe,～に借りがある
panic,パニック
pension,年金
pity,哀れみ
polish,～を磨く・洗練させる
precious,貴重な
prime,最も重要な・第一の
primitive,原始的な
province,州・県
queue,(順番を待つ)列
quote,～を引用する
recipe,調理法
reluctant,気が進まない・嫌がる
rescue,～を救う
resolve,～を解決する・決意する
restore,～を回復させる
retain,～を保持する・覚えている
retreat,後退・退却
reverse,～を逆転させる
royal,王の
ruin,～だめにする
scheme,計画・体系
seal,～を密閉する
sensation,感覚・大評判
skeleton,骨格
slight,わずかな・取るに足らない
span,期間・範囲
spare,余分の・予備の
stable,安定した
steady,着実な
stem,茎・幹
stroke,脳卒中・打つこと
substitute,～を代わりに使う
sympathy,同情・共感
theft,窃盗
tragedy,悲劇
ultimate,究極の
yield,～をもたらす・産出する
