academic,学問の
active,活動的な
address,(問題などを)扱う
aim,目的
associate,～を結び付けて考える
assume,～を当然のことと思う
atmosphere,大気
attempt,～を試みる・企てる
attract,～をひきつける
authorities,(関係)当局
aware,気づいて
characteristic,特徴
chemical,化学の・化学的な
circumstances,状況・事情
colleague,(職場の)同僚
complain,不平(苦情)を言う
conduct,～を実施する
consequences,結果
context,状況・背景
contribute,寄与(貢献)する
current,現在の
custom,(社会的な)慣習
decrease,減少する
define,～を定義する
desire,～を強く望む
destroy,～を破壊する
device,装置・機器
direct,直接の
disaster,災害
display,(感情などの)表れ
divide,～を分ける
doubt,～を疑う
earn,～を稼ぐ
emerge,現れる
enable,(人)にとって～を可能にする
essential,必要不可欠な
estimate,～と推定する
examine,～を調べる
familiar,精通している
financial,財政(上)の
furthermore,さらに
gene,遺伝子
graduate,卒業する
hence,それゆえに
hide,～隠す
identify,～を特定する
ignore,～を無視する
indicate,～を指し示す
institution,機関
likewise,同様に
literature,文学
majority,大部分
manner,方法
mass,かたまり
match,～と合う
mental,精神の
negative,否定の
nevertheless,それにもかかわらず
norm,規範
novel,目新しい・斬新な
obvious,明らかな
ordinary,並の
origin,起源
pain,苦痛
personality,個性・性格
phenomenon,現象
pollution,汚染
preserve,～を保持する
principle,主義・信条
progress,進歩
promote,～を促進させる
reflect,～を反映する
refuse,～を拒む
relax,くつろぐ
resident,居住者
respond,反応する
reveal,～を明らかにする
revolution,革命
satisfy,～を満足させる
sight,光景
specific,特定の
stick,～を動けなくさせる
stock,在庫品
strategy,戦略
struggle,闘い
succeed,成功する
suffer,苦しむ
survey,～を調査する
target,(到達)目標
tear,～を引き裂く
thereby,それによって
though,けれど
threat,脅威
track,跡
trend,傾向
trust,～を信頼する
urban,都市の
vary,さまざまである
vehicle,乗り物・車
wealth,富
