absurd,ばかげた、不合理な
antique,骨董の、古風な
applause,拍手(喝采)
aspire,熱望する
betray,うっかり表す、裏切る
bounce,跳ねる
breakdown,崩壊
bud,芽、つぼみ
bullet,銃弾
choke,むせさせる、窒息させる
chuckle,くすくす笑う
clumsy,不器用な
cluster,集団
coward,臆病者
curse,呪い
decisive,決定的な
despize,軽蔑する
diabetes,糖尿病
diligent,勤勉な
disabled,障害のある
dispose,処分する(～of)
disregard,無視する
dumb,ばかげた
earnest,まじめな、熱心な
emigrate,(他国へ)移住する
excel,秀でている
feat,偉業
fetch,持って来る、連れて来る
flap,ぱたぱたと動く、羽ばたく
frown,眉をひそめる
gear,器具、歯車
geometry,幾何学
gloomy,陰気な
glory,栄光
grief,深い悲しみ
hinder,妨げる
idle,(何もせずに)ぶらぶらしている
insert,挿入する
knot,結び目
limb,手足
loyal,忠実な
lure,誘惑する
marvelous,すばらしい、驚くべき
mercy,慈悲
misunderstand,誤解する
mock,ばかにする
murmur,ささやく
mutation,突然変異
mutter,つぶやく
nasty,不快な
naughty,いたずらな
obese,肥満した
obscure,人目につかない、不明瞭な
plunge,突っ込む、没頭する
predecessor,前任者
probe,宇宙探査用ロケット
psychiatrist,精神科医
punctual,時間を守る(形)
radiation,放射能、放射線
resume,再開する
reunion,再会(の集い)
rigid,厳しい
roam,歩き回る
roar,うなる、ほえる
rub,こする
seize,つかむ、奪い取る
sentiment,感情、感傷
shave,(顔、ひげ)をそる
sheer,純然たる、真の
shield,盾、防御物
shiver,震える
signature,署名
sole,唯一の
soothe,なだめる
soybean,大豆
splendid,すばらしい、立派な
staple,必需食品
stiff,硬直した
stray,はぐれる、迷う
stubborn,頑固な
swell,膨張する、腫れる
tablet,錠剤
tactics,戦術
tease,からかう
thermometer,温度計、体温計
thesis,論文
tidy,きちんとした
timid,臆病な
torture,拷問
tremble,震える、揺れ動く
triangle,三角形
uneasy,不安な
unify,統合する
upright,真っ直ぐな
vapor,蒸気
vegetation,植物
vertical,垂直の
vessel,船舶
withstand,耐える
wrinkle,しわ
