accurate,正確な
actual,実際の
alarm,不安
arise,生じる
ban,～を(法的に)禁止する
barrier,障壁
budget,予算
category,部類
civil,市民の
cognitive,認知の
commit,深くかかわる
compete,競う
complicate,～を複雑にする
conclude,～と結論付ける
confort,快適さ
conscious,意識して・気づいて
consist,成る
constant,絶え間ない
contract,契約(書)
convenient,便利な・都合のいい
credit,(功績など)を～に帰する
cure,～を治す
deliver,～を配達する
deny,～を否定する
dialect,方言
distinguish,～を区別する
diversity,多様性
duty,義務
elite,(集合的に)エリート
emergency,緊急(事態)
emphasize,～を強調する
employ,～を雇う
enormous,巨大な・莫大な
expect,～を予期する
expenses,経費
facility,施設・設備
false,誤った
fascinate,～を魅了する
fault,責任
frighten,(人)を怖がらせる
fundamental,基本的な
generate,～を生み出す
grain,穀物
handle,～を処理する
harvest,収穫(物)
hate,～をひどく嫌う
humanity,人類
illegal,違法の・不法の
import,～を輸入する
infant,乳児
innovation,革新
inspire,(人)を触発する
instrument,器具
insurance,保険
intelligent,聡明な
intend,～を意図する
lawyer,弁護士
loan,貸付金・融資
mammal,哺乳動物
military,軍の
myth,作り話
neighborhood,地域
obtain,～を得る
oppose,～に反対する
overcome,～を克服する
participate,参加する
perceive,～を知覚する
primary,最も重要な
proportion,割合
propose,～を提案する
protain,たんぱく質
psychology,心理学
quantity,量
rare,珍しい・希少な
recommend,～を勧める
regret,～を後悔する
reject,～を拒否する
remind,～に思い出させる
repair,～を修理する
request,～を要請する
reserve,(判断など)を保留にする
ritual,儀式
routine,決まりきった仕事
rush,急いでいく
sensitive,敏感な
severe,(人・規律などが)厳しい
strict,厳格な
tissue,(生物の)組織
trait,特性
transform,～を変える
translate,～を翻訳する
transport,～を輸送する
tribe,部族
typical,典型的な
universal,普遍的な
version,(本・製品などの）版
violent,暴力的な
visual,視覚の
vote,投票
weapon,兵器・武器
