accord,ー致
account,説明
adapt,適応する
add,加える
affect,影響を及ぼす
agree,意見が一致する
allow,許す
appear,…のように見える
argue,主張する・議論する
article,記事
author,著者
available,手に入る
avoid,避ける
benefit,利益・恩恵
cause,原因
certain,確信して
claim,主張する
common,普通の
compare,比較する
complete,完成させる
concern,心配する
consider,みなす
control,管理する
cost,(費用が)かかる
deal,処理する
demand,要求する
depend,頼る
describe,(～について)述べる
each,それぞれ
economy,経済
effect,影響・効果
encourage,励ます
environment,環境
even,…さえ
evidence,証拠
exist,存在する
experiment,実験
figure,数字
find,わかる・見つける
focus,焦点
force,強いる
general,全般的な
improve,向上させる
include,含む
increase,増加する
individual,個人
industry,産業
influence,影響(力)
instead,その代わりに
interest,興味
involve,関与させる
issue,問題(点)
likely,ありそうな
material,材料
matter,問題
medicine,医薬
memory,記憶
native,出生地の
notice,気づく
offer,提供する・申し出る
opportunity,機会
particular,特定の
patient,忍耐強い
physical,身体の
possible,可能な
practice,慣習
produce,生産する
provide,供給する
public,公の
quality,質
rather,かなり
realize,気づく・実現する
recent,最近の
reduce,減らす
relate,関連付ける
require,要求する・必要とする
right,権利
scientific,科学的な
share,共有する
similar,似ている
simultaneously,同時に
situation,状況
skill,技能
social,社会的な
sound,音
species,種(類)
statement,主張
store,保存する
subject,話題
suggest,提案する
technology,科学技術
tend,傾向がある
term,(専門)用語
theory,理論・学説
thought,考え
value,価値
various,さまざまな
view,見解
wonder,～かなと思う
yet,それでも
access,接近・利用(の機会)
advance,進歩する
advantage,利点
ancestor,先祖
ancient,古代の
apply,申し込む
approach,～に近づく
appropriate,適切な
aspect,(物事の)側面
attend,～に出席する
attitude,考え方
audience,(集合的に)聴衆
bear,～に耐える
bill,請求書
blank,空白の
both,両方とも
cell,細胞
challenge,～に異議を唱える
charge,料金
clay,粘土
complex,複雑な
conflict,争い
connect,～をつなぐ
contain,～を含む
content,内容
contrast,対照
correct,正しい
crop,作物
decade,10年間
decline,衰退する
degree,程度
despite,にもかかわらず
detail,詳細(な情報)・細部
determine,～を決定する
due,(支払)期日で
emotion,感情
epoch,時代
establish,～を設立する
eventually,結局は
explanation,説明
express,表現する
feature,特徴
fine,罰金
fit,～に適合する
fuel,燃料
function,機能
gain,～を獲得する
habit,習慣・癖
income,収入
maintain,～を維持する
male,男性の
manage,～をどうにか成し遂げる
medium,(情報伝達の)媒体
mention,～に言及する・と言う
method,方法
mobile,可動・移動式の
necessary,必要な
object,反対する
observe,～に気づく
occur,起こる
official,公式の
otherwise,さもなければ
perform,～を行う
plastic,柔軟な
political,政治(上)の
positive,積極的な
prefer,～のほうを好む
prepare,～を準備する
prevent,～を妨げる
private,私的な
profit,利益
prove,～を証明する
publish,～を出版する
range,範囲
recognize,～を識別できる
refer,言及する
regard,～を見なす
region,地域
replace,～にとって代わる
represent,～を表す
resources,資源
respect,～を尊敬する
search,捜す
seek,～を追い求める
significant,重要な
solution,解決(策)
spread,～を広める
status,地位
structure,構造
supply,～を供給する
suppose,～と思う
surface,表面
survive,生き延びる
temperature,温度
therefore,それゆえに
thus,したがって
trade,貿易
treat,～を扱う
waste,～を浪費する
worth,～の価値がある
academic,学問の
active,活動的な
address,(問題などを)扱う
aim,目的
associate,～を結び付けて考える
assume,～を当然のことと思う
atmosphere,大気
attempt,～を試みる・企てる
attract,～をひきつける
authorities,(関係)当局
aware,気づいて
characteristic,特徴
chemical,化学の・化学的な
circumstances,状況・事情
colleague,(職場の)同僚
complain,不平(苦情)を言う
conduct,～を実施する
consequences,結果
context,状況・背景
contribute,寄与(貢献)する
current,現在の
custom,(社会的な)慣習
decrease,減少する
define,～を定義する
desire,～を強く望む
destroy,～を破壊する
device,装置・機器
direct,直接の
disaster,災害
display,(感情などの)表れ
divide,～を分ける
doubt,～を疑う
earn,～を稼ぐ
emerge,現れる
enable,(人)にとって～を可能にする
essential,必要不可欠な
estimate,～と推定する
examine,～を調べる
familiar,精通している
financial,財政(上)の
furthermore,さらに
gene,遺伝子
graduate,卒業する
hence,それゆえに
hide,～隠す
identify,～を特定する
ignore,～を無視する
indicate,～を指し示す
institution,機関
likewise,同様に
literature,文学
majority,大部分
manner,方法
mass,かたまり
match,～と合う
mental,精神の
negative,否定の
nevertheless,それにもかかわらず
norm,規範
novel,目新しい・斬新な
obvious,明らかな
ordinary,並の
origin,起源
pain,苦痛
personality,個性・性格
phenomenon,現象
pollution,汚染
preserve,～を保持する
principle,主義・信条
progress,進歩
promote,～を促進させる
reflect,～を反映する
refuse,～を拒む
relax,くつろぐ
resident,居住者
respond,反応する
reveal,～を明らかにする
revolution,革命
satisfy,～を満足させる
sight,光景
specific,特定の
stick,～を動けなくさせる
stock,在庫品
strategy,戦略
struggle,闘い
succeed,成功する
suffer,苦しむ
survey,～を調査する
target,(到達)目標
tear,～を引き裂く
thereby,それによって
though,けれど
threat,脅威
track,跡
trend,傾向
trust,～を信頼する
urban,都市の
vary,さまざまである
vehicle,乗り物・車
wealth,富
achievement,業績
acquire,～を得る
admit,認める
adopt,～を採用する
advertise,～を宣伝する
afford,～を持つ(する)余裕がある
agriculture,農業
aid,～を援助する・助ける
all,すべて(のもの)
amaze,～をびっくりさせる
analysis,分析(結果)
appeal,訴える
appreciate,～を正当に評価する
