accord,ー致
account,説明
adapt,適応する
add,加える
affect,影響を及ぼす
agree,意見が一致する
allow,許す
appear,…のように見える
argue,主張する・議論する
article,記事
author,著者
available,手に入る
avoid,避ける
benefit,利益・恩恵
cause,原因
certain,確信して
claim,主張する
common,普通の
compare,比較する
complete,完成させる
concern,心配する
consider,みなす
control,管理する
cost,(費用が)かかる
deal,処理する
demand,要求する
depend,頼る
describe,(～について)述べる
each,それぞれ
economy,経済
effect,影響・効果
encourage,励ます
environment,環境
even,…さえ
evidence,証拠
exist,存在する
experiment,実験
figure,数字
find,わかる・見つける
focus,焦点
force,強いる
general,全般的な
improve,向上させる
include,含む
increase,増加する
individual,個人
industry,産業
influence,影響(力)
instead,その代わりに
interest,興味
involve,関与させる
issue,問題(点)
likely,ありそうな
material,材料
matter,問題
medicine,医薬
memory,記憶
native,出生地の
notice,気づく
offer,提供する・申し出る
opportunity,機会
particular,特定の
patient,忍耐強い
physical,身体の
possible,可能な
practice,慣習
produce,生産する
provide,供給する
public,公の
quality,質
rather,かなり
realize,気づく・実現する
recent,最近の
reduce,減らす
relate,関連付ける
require,要求する・必要とする
right,権利
scientific,科学的な
share,共有する
similar,似ている
simultaneously,同時に
situation,状況
skill,技能
social,社会的な
sound,音
species,種(類)
statement,主張
store,保存する
subject,話題
suggest,提案する
technology,科学技術
tend,傾向がある
term,(専門)用語
theory,理論・学説
thought,考え
value,価値
various,さまざまな
view,見解
wonder,～かなと思う
yet,それでも
