abundant,豊富な
accumulate,～を蓄積する
accustom,～を慣れさせる
anniversary,記念日
anticipate,～を予期する
assess,～を評価する
assign,～を配属する
astonish,～を驚かす
awkward,気まずい
blend,～を混ぜる・調和させる
boost,～を高める
brave,勇敢な
brilliant,すばらしい
cast,～投じる
cease,～をやめる
census,国勢調査
column,コラム
combat,戦闘・対立
competent,有能な・適任な
compliment,賛辞
concrete,具体的な
conquer,～を征服する
consensus,総意
constitute,～を構成する
controversy,論争
correspond,一致する
cough,咳をする
crack,割れ目
deadline,締切
decorate,～を装飾する
dense,密集した・密度の高い
deposit,～を置く・預ける
deprive,(権利などを)奪う
destiny,運命
diminish,～を減らす
dormitory,寮
drift,漂う・さまよう
dump,～を投棄する・落とす
emit,(光・音などを)出す
estate,（不動産などの）財産
exclude,～を除外する
fantasy,空想
fluid,流動体・液体
gallery,美術館・画廊
generous,寛大な
harsh,厳しい
hive,ミツバチの巣・群衆
impulse,衝動・刺激
incentive,動機(付け)
inevitable,避けられない
insult,～を侮辱する
intuition,直観(力)・直感
irrigation,灌漑
irritate,～をいらいらさせる
joint,関節
margin,余白・差
mess,散らかった状態
mill,製造工場
mount,～に着手する・乗る
neutral,中立の・はっきりしない
nursery,託児所
nurture,～はぐくむ
optimistic,楽観的な
oral,口頭の
output,生産(高)
particle,(微)粒子
passive,受動的な
persist,固執する
phase,段階・面
pitch,～を投げる
plot,(小説などの)筋
poll,世論調査
portray,～を描く・演じる
prairie,大草原
prey,獲物
profound,重大な・深い
prominent,卓越した
pronounce,～を宣言する・発音する
realm,領域・領土
reform,～を改革する
regulate,～を規制する
reinforce,～を強化する
remedy,治療(法)
resort,(好ましくない手段に)訴える
rob,(金品を)奪う
sacred,神聖な
sensible,賢明な・実用的な
sensory,感覚の
spectator,(試合などの)観客
spell,～を綴る
treaty,(国家間の)条約
triumpth,勝利
twist,～をねじる・ひねる
ugly,醜い
underlie,～の根底にある
urgent,緊急の
vague,漠然とした
violate,～を侵害する
virtue,美徳・長所
wander,歩き回る・それる
