abandon,～を捨てる
absorb,～を吸収する
adjust,～を調整する
agent,仲介者・代理人
aggressive,攻撃的な
alter,～を変える
annual,1年間の
arrange,～の段取りをつける
award,～を授与する
bilingual,2言語を使う
bother,～を悩ます
breathe,呼吸する
breed,～を飼育する・繁殖させる
burden,負担
capable,能力がある
celebrate,～を祝う
colony,植民地
command,～と命じる
concentrate,集中する
confirm,～を確認する
construct,～を建設する
contemporary,現代の
contrary,反対の
conventional,従来の
depression,憂鬱
differ,異なる
disappoint,～を失望させる
discipline,規律・しつけ
distant,遠い
district,地区
domestic,家庭の
editor,編集者
elementary,初級の
embarrass,～に恥ずかしい思いをさせる
ensure,～を確実にする
equality,平等・対等
evil,邪悪な
expose,～をさらす
favor,～に賛成する
fee,料金
glance,ちらっと見ること
grant,～を与える
guarantee,～を保証する
habitat,生息地
hybrid,ハイブリッド車
immediate,即座の
immigration,(外国からの)移住
imply,～を暗に意味する
incident,出来事・事件
inform,～に知らせる
ingredient,成分・材料
inhabitant,住民
injure,～を傷つける
insight,洞察力・見識
instructions,指示
interact,影響しあう
interpret,～を解釈する
invest,投資する
investigate,～を調査する
landscape,風景
layer,層
linguistic,言語の
manufacture,～を製造する
melt,溶ける
mission,使命
nerve,神経
nuclear,核の・原子力の
opponent,(試合・論争などの)相手
outcome,結果
overall,全体的な
permit,～を許可する
praise,～を賞賛する
pretend,～のふりをする
procedure,手続き
proper,適切な
ray,光線
react,反応する
recover,回復する
reputation,評判
resonable,合理的な
row,列
sacrifice,犠牲
shelter,避難(所)・保護
stare,じっと見る
stuff,(漠然と)物
sufficient,十分な
symptom,症状
territory,領土
therapy,療法
thick,厚い
transfer,～を移す
upset,～を動揺させる
verbal,言葉の
virtual,仮想の
warn,～に警告する
welfare,福祉・幸福
widespread,広範囲にわたる
wisdom,知恵
witness,目撃者
wound,(銃弾・刃物などによる)傷
