abortion,妊娠中絶
absolute,絶対的な
accelerate,加速する・促進する
amuse,～をおもしろがらせる
asethetic,美的な
assets,資産
bitter,苦い・厳しい
cereals,穀物
cheat,～をだます
chore,雑用・日課
collective,集団の・共同の
commodity,商品
commute,通勤・通学する
conceal,～を隠す
confine,～を限定する
convict,～に有罪を宣告する
counterpart,相当するもの
courtesy,礼儀正しさ・好意
cruel,残酷な
crush,～を押しつぶす
cue,合図
currency,通貨・普及
dare,あえて～する
deaf,耳が聞こえない
decent,そこそこの・きちんとした
dedicate,～をささげる
deforestation,森林伐採
dip,～を浸す・突っ込む
discard,～を捨てる・解雇する
disgust,～をむかつかせる
draft,下書き
drain,流れ出させる
elaborate,入念な
elect,～を選出する
epidemic,流行病
equip,～に備え付ける
exotic,外来の
explode,爆発する・急増する
exploit,～を活用する・搾取する
fade,薄れる・衰える
fiber,繊維(質)・本質
flavor,風味
flock,群れ
flourish,繁栄する・繁茂する
forgive,～を許す
formula,方法
fulfill,～を実現させる
grateful,感謝している
humble,謙虚な・質素な
inherit,～を受け継ぐ
intake,摂取量
intellect,知性
keen,熱心な・鋭敏な
librarian,司書
log on,ログオンする
microbe,細菌
mild,穏やかな
mixture,混合(物)
motive,動機
noble,高貴な・堂々とした
outbreak,発生・勃発
outlet,直売店
parallel,平行の
patch,小区画の土地
pedestrian,歩行者
penalty,(刑)罰
perfume,香水・香料
posture,姿勢・心構え
prevail,普及している
probable,十分にありそうな
radical,急進的な・根本的な
ratio,比率
reception,歓迎会・受付
recipient,受け取る人
renew,～を更新する
reproduce,～を複製する
ridiculous,ばかげた
rough,粗い
scatter,～をまき散らす
scent,香り
selfish,利己的な
shallow,浅い
sociology,社会学
spill,～をこぼす
sprawl,(都市などが)不規則に広がる
starve,飢える
steep,(傾斜が)急な
strain,～に負担をかける
submit,～を提出する
syndrome,症候群
tackle,～に取り組む
tempt,～を引き付ける
terrify,～を怖がらせる
thrive,繁栄する・成功する
tide,潮(の満ち引き)
toll,損害(の程度)
transmit,～を伝える
utility,公共事業・実用性
vanish,消える
whisper,ささやく
