achievement,業績
acquire,～を得る
admit,認める
adopt,～を採用する
advertise,～を宣伝する
afford,～を持つ(する)余裕がある
agriculture,農業
aid,～を援助する・助ける
all,すべて(のもの)
amaze,～をびっくりさせる
analysis,分析(結果)
appeal,訴える
appreciate,～を正当に評価する
behave,振る舞う
blame,～を責める
campaign,運動
capital,資本
client,顧客
code,規範
combine,～を結びつける
conference,会議
confidence,自信
confuse,～を混同する
consume,～を消費する
convince,～を納得(確信)させる
corporation,(大)企業
court,裁判所・法廷
creative,創造的な・独創的な
criminal,犯罪者・犯人
crisis,危機
criticize,～を批判する
demonstrate,～を論証(証明)する
desert,人の住まない
document,(公)文書
educate,～を教育する
efficient,効率的な
encounter,～に遭遇する
engage,～を従事させる
entire,全体の・全部の
evolve,(徐々に)発展する
expand,拡大する
explore,調査する
extend,～を伸ばす・延ばす
extreme,極端な
flow,流れる
fossil,化石
freeze,凍る
gender,(社会的・文化的)性別
genetic,遺伝(子)の
glacier,氷河
harm,害
hypothesis,仮説
ideal,理想的な
imagination,想像(力)
independent,独立した
insist,強く主張する
judge,判断する
laboratory,実験室・研究室
legal,法律の
locate,～の位置を探し当てる
meanwhile,(２つの事柄を対比して)一方
minister,大臣
notion,概念・観念
nowadays,近頃は
occasion,場合・時
operate,～を操作する
option,選択(の自由)
organ,臓器
organize,～を組織する
perspective,観点
phylosophy,哲学
potential,潜在的な
predict,～を予言(予測)する
presence,存在
previous,以前の・前の
purchase,～を購入する
recall,～を思い出す
relative,相対的な
release,～を放出する
religion,宗教
rely,頼る
remove,～を取り除く
review,(書物などの)論評
reward,報酬
rural,田舎の
seldom,めったに～ない
select,～を選ぶ・精選する
settle,～を解決する
statistics,統計
stereotype,固定観念
substance,物質
suit,～に適する
the latter,(二者のうち)後者
tiny,とても小さな
vast,広大な
versus,A対B
victim,犠牲(者)・被害者
virus,ウイルス
vocabulary,語彙
willing,いとわない
