abvocate,～を主張する・擁護する
acid,酸性の・酸っぱい
adequate,十分な・適切な
adolescent,青年
alert,警戒して
alien,異質な・外国の
appetite,食欲
arctic,北極の
burst,破裂する
cattle,牛
chaos,混沌・大混乱
chase,追跡する・追求する
circulation,循環・流通
cite,～を引き合いに出す
clog,～を詰まらせる・阻害する
congress,(米国などの)議会
consent,同意・承諾
conservative,保守的な
cosmetic,化粧の・美容の
cultivate,～養う・栽培する
deceive,～をだます
dignity,尊厳・威厳
dimension,側面・局面
dismiss,(意見など)を退ける
distract,(注意など)をそらす
distress,苦悩・苦痛
dynamic,活動的な・動的な
equation,方程式
exaggerate,誇張する
exceed,～を超える・勝る
extinct,絶滅した・廃止された
famine,飢饉
fancy,(気まぐれな)好み
fatigue,疲労
flee,逃げる
forbid,～を禁じる
forecast,～を予想する
funeral,葬式
gaze,じっと見る
genuine,本物の
grab,～をつかむ・横領する
grasp,～を把握する
greet,～に挨拶する
grip,～を握る・とらえる
hazard,危険・偶然
heal,～を治す
heritage,遺産
hesitate,躊躇する
illusion,錯覚・思い違い
indifferent,無関心な
infection,感染(症)
infrastructure,(経済)基盤・インフラ
interfere,干渉する・介入する
intimate,親密な
liberty,自由・開放
meaningful,意味のある
mechanical,機械の・機械的な
metaphor,隠喩・比喩
migrate,移住する
moderate,過度な・穏健な
modify,～を修正する・緩和する
monk,修道士・僧
multiple,多様な
narrative,物語・話
nod,うなずく・うとうとする
obey,～に従う
overlook,～を見落とす
parliament,(英国などの)議会
patent,特許
polar,極地の
portion,部分・１人前
postpone,～を延期する
predator,捕食動物・略奪者
priest,聖職者
privilege,特権・特典
prompt,迅速な
prosperity,繁栄
qualify,～に資格を与える
random,無作為の
rear,(人・動物・植物)を育てる
register,～を記録する・登録する
relevant,関係がある
scan,～を注意深く調べる
shade,(日)陰
shame,恥
spiritual,精神の
spoil,～を台無しにする・甘やかす
stress,ストレス・圧力
subtle,微妙な・希薄な
supplement,栄養補助剤
swing,～を揺らす・振る
temper,気質・気性
thrill,～をぞくぞくさせる
transition,移り変わり・過渡期
trigger,～を引き起こす
undergo,～を経験する・受ける
venture,危険を冒して進む
wilderness,荒野
withdraw,～を引き出す・撤回する
yawn,あくびをする
