acquaintance,知人
altitude,高度・標高
ambiguous,あいまいな
appoint,～を任命する
ashamed,恥じて
assert,～を主張する
attain,～を獲得する・達成する
awful,ひどい
bare,裸の
beg,～を切に頼む・懇願する
bet,～と確信する
bloom,花が咲く
boast,～を誇る
bully,～をいじめる
caution,用心・警告
commerce,商業
compassion,同情
compensate,補償する
compound,～を悪化させる
comprise,～から成る
compromise,妥協する
cortex,皮質・樹皮
cottage,小別荘
county,群
craftsman,職人
cram,～を詰め込む
crawl,はう
criterion,(評価・判断の)基準
curve,カーブ
decay,腐敗
defect,欠陥
delicate,繊細な
descend,降りる・受け継がれる
despair,絶望
digest,～を消化する
discourse,会話
drown,溺死する
empirical,経験的な
enforce,～を施行する
entitle,～に権利を与える
extract,～を取り出す
fablic,織物
fame,名声
fingerprint,指紋
fragile,壊れやすい
gratitude,感謝
grave,墓
horror,恐怖
imperial,帝国の
implement,～を実行する
inferior,より劣った
innate,生まれながらの
innocent,無罪の
inquire,尋ねる
install,～を設置する
interior,室内の
knit,編み物をする
lean,かがむ・傾く
magnificent,壮大な
manipulate,～を巧みに操る
medieval,中世の
offend,～の気分を害する
offspring,子孫・子
outlook,態度・見解
premise,前提
proceed,進行する
profile,人物の紹介
quest,探究
ranch,牧場
recession,不況
recruit,～を募る
refine,～を精製する
refrain,控える
republic,共和国
revive,～を復活させる
sculpture,彫刻
secondary,二次的な
sigh,ため息をつく
sphere,球体
spin,回転させる
split,～を分割する
spray,噴霧
stake,杭
stern,厳しい
subsequent,その後の
suppress,～を抑える
sweep,掃く
tense,張りつめた・緊張した
thorough,徹底的な
thread,議論などの筋道
transplant,～を移植する
tremendous,途方もない・莫大な
troops,軍隊
tuition,授業料
uncover,～を暴く
unity,統合
valid,妥当な
worship,崇拝
worthwhile,価値がある
yell,～叫ぶ・怒鳴る
